university;study_programme
University of Nottingham;Classical Literature
University of Essex;American (United States) Studies with Film
University of Liverpool;Food Security
University College London;Computational Archaeology — GIS Science and Complexity
Metropolitan University;Computer Networking
Anglia Ruskin University;International Entrepreneurship
University of London;Holocaust Studies
Imperial College London;Electrical and Electronic Engineering with Management
Glasgow Caledonian University;3D Computer Animation
Loughborough University;Engineering Design
Nottingham Trent University;Marketing
University of East Anglia;International Development
Kingston University;Mechanical Engineering
Online Business School;IT and Web Design, University 1st and 2nd Year (Level 4 and 5)
University of Bedfordshire;Media, Culture and Technology
University of York;Large Scale Complex IT Systems
Metropolitan University;Education and Society
London School of Economics and Political Science;Organisational Behaviour
Cardiff University;Mechanics and Advanced Materials
London South Bank University;International Business
King's College London;Late Antique and Byzantine Studies
King's College London;Neuroscience
Napier University;Sound Production
Sheffield Hallam University;Film Studies with Screenwriting
University of Gloucestershire;Marketing
University of Wales;Politics, Media and Performance
University of East Anglia;International Relations and Politics
University of Cambridge;Pharmacology
University College London;Economics and Geography
University of Nottingham;Counselling Masters
University of Essex;Accounting
Coventry University;Languages for Business
Queen Mary University of London;European Law
King's College London;Economics for Competition Law
University of Birmingham;Modern Languages with Film Studies
University of Nottingham;English Studies
Napier University;International Banking and Finance
Sheffield Hallam University;Applied Cognitive Neuroscience
University of Edinburgh;Socio-Cultural Studies
Brunel University Uxbridge;Human Resources and Employment Relations
University of London;Mathematics of Cryptography and Communications
London School of Economics and Political Science;Business Mathematics and Statistics
University of Essex;Computer Systems Engineering
University of Greenwich;Business with Marketing (subject to validation)
University of East Anglia;Philosophy and History
The Queen's University Belfast;Marine Biology
Sheffield Hallam University;Pharmaceutical Analysis
University of East Anglia;English and American Literature
Liverpool John Moores University;Drug Discovery and Design
University of Kent at Canterbury;Higher Education
University of Oxford;Psychiatry
Southampton Solent University;Maritime Business
University of Sunderland;Psychology with Counselling
University of Warwick;Global Sustainable Development and Business Studies
University of Essex;Marketing
Durham University;Archaeology
University of York;Political Economy
Kingston University;Mechatronic Systems
Bournemouth University;Law with Economics
University of Manchester;Contemporary Literature and Culture
Imperial College London;Petroleum Geoscience
University of Lancaster;Advanced Marketing Management
University of Southampton;Maritime Law
University Campus Suffolk;Adult Nursing
Metropolitan University;Biomedical Science
University of Essex;History
University of Leeds;Law
Durham University;Philosophy
Online Business School;Sales and Marketing
University of Leicester;Accounting and Finance
Queen Mary University of London;Genetics
University of Stirling;Publishing Studies
University of Exeter;Marketing
University of East Anglia;Computing Science, Imaging and Multimedia
University of Oxford;Film Aesthetics
University College London;Educational Leadership
Cardiff University;Risk, Science, Health and Media Group
University of Southampton;Electronic Engineering
University of Oxford;Application of Plastic Electronic Materials
University of Lincoln;Computer Science
